Gene names, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
,-0.991943445,#VALUE!,-1.4640665,-1.939094866,#VALUE!,-2.285037984,-1.144903296,#VALUE!,#VALUE!,#VALUE!,-0.6464057,-1.390509777
dnc,-1.187871481,#VALUE!,-2.388733175,-2.078198091,#VALUE!,-2.181803871,-1.258321614,-1.648778758,-1.381122377,-2.117787378,-2.122365674,-2.448193627
,-1.456999123,#VALUE!,-2.380521254,-2.714633294,-2.430820035,-2.072482754,#VALUE!,#VALUE!,-0.444124961,-1.867120503,#VALUE!,-0.189960043
Marf,-0.80404773,-1.256528117,-1.649095461,-1.301017029,#VALUE!,-1.980796266,-0.954640909,-1.284686459,-1.517296252,-2.158815851,-0.537612575,-0.992833209
Rh4,#VALUE!,#VALUE!,-0.967447724,-1.357825241,-0.627471303,-1.93076529,#VALUE!,-0.369930078,#VALUE!,#VALUE!,#VALUE!,-3.020691654
CG7766,-1.487904618,#VALUE!,-3.247559673,-2.18632756,#VALUE!,-1.903522231,#VALUE!,#VALUE!,-1.14053926,-1.298282398,-1.24615589,-1.916807059
Gycalpha99B,#VALUE!,#VALUE!,-1.821635918,-1.410313203,-2.970638997,-1.87228749,-0.978434993,-1.161427356,#VALUE!,-1.628653027,#VALUE!,-2.049486794
Pde1c,#VALUE!,#VALUE!,-1.646202476,#VALUE!,#VALUE!,-1.867067874,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.233379398
AGO1,-1.776453884,-0.320648271,-1.31954961,0.656542133,#VALUE!,-1.85783493,-1.431987358,-1.333116184,-2.335043924,-1.161879207,-0.662368822,-1.71752461
Glg1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.819801206,-1.099587199,#VALUE!,-1.436509917,#VALUE!,-2.40491651,-2.575185379
CG34325-RA,-1.843577494,-1.651269013,#VALUE!,#VALUE!,-2.319837702,-1.805156488,#VALUE!,#VALUE!,-1.546076864,-1.478627583,#VALUE!,-1.236129556
shot,-2.204831529,-2.630483264,-0.049158362,-1.175142554,-1.58225278,-1.793356776,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.212333514
mdy,-1.4965902,-0.951122139,-1.523753126,-1.356790282,-1.425268737,-1.792356987,-1.749766019,-2.281035664,-1.697967615,-1.447524556,#VALUE!,-1.365759898
Rbp,0.039419183,#VALUE!,-1.466576194,-1.371982356,#VALUE!,-1.763807432,-0.046176046,-0.589984597,#VALUE!,-1.650408257,-1.526327366,-1.636167314
Mnn1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.660289751,-1.723658183,#VALUE!,#VALUE!,0.345396375,#VALUE!,#VALUE!,-0.837661042
,-2.130870855,-0.533492946,-1.329268414,#VALUE!,-1.531948506,-1.651948921,-2.084119665,-2.035224339,-0.729961508,-1.499483455,#VALUE!,-1.014907662
,#VALUE!,-1.721705924,-1.538345721,#VALUE!,#VALUE!,-1.649593278,-1.66566056,-2.025030237,-1.376732435,-1.615905973,-1.275716451,-1.608936205
CG14757,0.174150712,#VALUE!,#VALUE!,#VALUE!,-2.095851205,-1.607616627,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.869701683
,#VALUE!,#VALUE!,#VALUE!,-0.194674522,#VALUE!,-1.517296252,0.541118304,0.353662045,0.106750315,0.404794153,0.228726355,0.294900072
Srp72,-1.486004021,-2.409738126,-1.93164562,-1.70783079,#VALUE!,-1.48628693,-1.914956124,-1.68121463,-1.653854367,-1.602131338,-1.062746015,-0.988332622
pix,-2.100669665,-2.814513996,-1.38624206,-1.384546035,#VALUE!,-1.470888709,-2.386921028,-0.664013752,#VALUE!,-1.024384487,#VALUE!,-1.196475361
Cyp12c1,#VALUE!,#VALUE!,-2.582079992,#VALUE!,-1.912184166,-1.453992106,#VALUE!,#VALUE!,-1.564478079,#VALUE!,#VALUE!,-2.023621699
RabX4,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.432104143,#VALUE!,-1.095666201,#VALUE!,#VALUE!,#VALUE!,-1.242328113
Spn55B,#VALUE!,-0.019345829,-0.409929793,-0.120623582,#VALUE!,-1.418966976,-0.397847217,-0.779670045,-1.02488345,-1.029617507,-1.374598575,-1.520065857
Hmgs,-1.3373752,-1.067213127,-1.320846479,-0.983817499,#VALUE!,-1.365722719,-1.36955725,-1.429614792,-1.015228388,-1.068543859,-0.658037017,-0.732140643
Lpin,-1.897973501,-1.080545498,#VALUE!,-1.716813093,#VALUE!,-1.351700235,-0.340276337,-1.386807845,-1.480156203,-1.051458955,#VALUE!,-1.871020393
,-0.073833542,#VALUE!,-1.119290969,-1.605859064,-1.544392653,-1.351037638,#VALUE!,#VALUE!,0.587845009,-0.499442665,#VALUE!,-0.918605829
,3.56571902,-0.322667666,-0.28649773,-0.996743188,#VALUE!,-1.334170666,#VALUE!,#VALUE!,-0.022331746,-0.47252925,-0.912917401,-0.248467724
RagC-D,#VALUE!,-1.452175109,-0.90949882,#VALUE!,#VALUE!,-1.272959586,-0.49323559,-0.445145962,-0.595314824,#VALUE!,-0.426916369,-0.827077309
crb,-1.200481608,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.244616723,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.766602736,-1.178828601
CG1311,#VALUE!,-1.250748936,-0.560025872,#VALUE!,#VALUE!,-1.215780815,-0.656535324,-0.870756555,-0.903333331,-0.782074475,#VALUE!,-1.123308222
CkIalpha,-0.47357056,-1.360934578,#VALUE!,-0.670130128,-0.968717739,-1.18150934,-0.520645252,-0.8787193,-1.19591339,-0.546308597,#VALUE!,-0.788539176
Spt5,-1.573123404,#VALUE!,#VALUE!,#VALUE!,-1.774626343,-1.159428002,-2.170718702,-1.866699524,#VALUE!,#VALUE!,#VALUE!,-1.4640665
ApepP,-1.905142388,-2.399730246,-0.704065435,-1.080484478,#VALUE!,-1.145413827,-1.280194483,-2.0899428,-1.296155104,-1.32622651,-0.546308597,-1.34684824
P5cr,-1.176935471,-1.288205572,-1.534621015,-1.135871317,#VALUE!,-1.09807311,-0.883768339,-1.142990415,-0.909011112,-1.387524824,-1.00453719,-1.452569914
CG18501,#VALUE!,#VALUE!,-0.812156257,-0.579900319,#VALUE!,-1.097424701,#VALUE!,0.219958398,-0.769501836,-0.774453588,-0.552769949,-1.007782653
Naam,-0.69012534,-0.643630786,-1.564691448,-0.998183348,#VALUE!,-1.069603273,-1.023181813,#VALUE!,1.327054969,-0.773442148,0.119289768,-0.601474503
CG10915,-0.673968949,#VALUE!,-0.774626343,0.354564999,#VALUE!,-1.060427367,0.013783815,-1.535122662,-1.028734206,-0.588942611,-0.817409394,-0.940201736
Nup54,-0.344171932,-1.106622256,-1.412116596,-0.629143838,-1.434870801,-1.048561406,-1.268121651,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.113005115
CG3800,-1.496305263,-2.429187367,#VALUE!,-0.686800594,#VALUE!,-1.02148218,0.113567157,#VALUE!,#VALUE!,-0.673945932,#VALUE!,-1.34391556
Pdp,#VALUE!,#VALUE!,-0.582620024,0.011924948,#VALUE!,-0.989334722,#VALUE!,#VALUE!,-0.835651359,#VALUE!,#VALUE!,-0.160298348
CG7441-RA,-0.922018749,#VALUE!,#VALUE!,-0.486145468,-1.067424752,-0.984445341,-0.38669467,-0.324726028,-0.806619335,-0.378982019,#VALUE!,-0.372542575
