Gene names,Alpha A30P_day_1,Alpha A30P_day_10,Alpha A53T_day_1,Alpha A53T_day_10,Alpha A53T_day_30,Alpha_day_1,Alpha _day_10, Alpha _day_30
,0.564615,0.377385,0.5028,0.311625,0.20518,0.45222,#DIV/0!,0.51015
dnc,0.238265,0.256235,0.43895,0.21388,0.2204,0.36847,0.30716,0.206455
,0.25264,0.315085,0.36425,0.17219,0.211605,#DIV/0!,0.504575,0.87663
Marf,0.410335,0.272485,0.495645,0.36234,0.25335,0.463215,0.28664,0.5957
Rh4,0.912605,0.6073855,#DIV/0!,0.45079,0.4548,0.77382,#DIV/0!,0.12322
CG7766,0.22657,0.373325,0.35653,0.1625,0.26729,#DIV/0!,0.4301,0.343205
Gycalpha99B,0.238,0.25126,#DIV/0!,0.329565,0.200355,0.4773,0.32339,0.24157
Pde1c,0.36959,0.29074,#DIV/0!,0.31948,0.27413,#DIV/0!,#DIV/0!,0.21266
AGO1,0.738625,0.30132,0.546305,0.98848,0.27589,0.383765,0.32256,0.467955
Glg1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.28326,0.46665,0.36946,0.17831
CG34325-RA,#DIV/0!,0.38249,0.298495,#DIV/0!,0.24322,#DIV/0!,0.350635,0.42451
shot,#DIV/0!,0.40375,0.1892,0.70467,0.31123,#DIV/0!,#DIV/0!,0.43157
mdy,0.366455,0.333635,0.43581,0.369115,0.330525,0.25155,0.337435,0.38803
Rbp,0.29389,0.79497,1.0277,0.3741,0.29447,0.816425,0.31855,0.334435
Mnn1,#DIV/0!,0.93572,#DIV/0!,#DIV/0!,0.94159,#DIV/0!,1.2705,0.55955
,0.33537,0.42539,0.4596,0.39797,0.33201,0.239905,0.4783,0.49486
,0.269145,0.38069,0.30319,0.34428,0.31873,0.28045,0.355675,0.37043
CG14757,#DIV/0!,#DIV/0!,1.1283,#DIV/0!,0.281035,#DIV/0!,#DIV/0!,0.54726
,1.602175,1.11358,#DIV/0!,0.87377,0.34934,1.36645,1.20035,1.1993
Srp72,0.32336,0.45793,0.272595,0.284125,0.35693,0.2885,0.32359,0.49139
pix,0.6469,0.350965,0.18765,0.382785,0.36076,0.411155,0.49162,0.43634
Cyp12c1,#DIV/0!,#DIV/0!,#DIV/0!,0.167,0.31535,#DIV/0!,0.3381,0.24594
RabX4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.37059,0.46792,#DIV/0!,0.42269
Spn55B,1.0576,0.71133,0.98668,0.836225,0.37398,0.670745,0.490645,0.367165
Hmgs,0.3835,0.468405,0.43649,0.45297,0.38804,0.37912,0.485775,0.617875
Lpin,0.54146,0.42407,0.370585,0.30422,0.39183,0.58615,0.420465,0.27338
,0.408525,0.46169,0.95011,0.39443,0.367425,#DIV/0!,1.10519,0.52902
,0.68868,0.694655,6.320295,0.66051,0.39662,#DIV/0!,0.85267,0.68645
RagC-D,0.7243,0.821255,0.36547,0.53237,0.41381,0.72247,0.6619,0.65376
crb,#DIV/0!,#DIV/0!,0.43513,#DIV/0!,0.42202,#DIV/0!,#DIV/0!,0.514755
CG1311,0.77008,0.996655,0.42023,0.67829,0.43054,0.59063,0.55809,0.45904
CkIalpha,0.43269,0.53325,0.554755,0.62845,0.475925,0.620455,0.56064,0.57893
Spt5,0.476185,0.39533,0.33608,#DIV/0!,0.36998,0.24815,#DIV/0!,0.36247
ApepP,0.274275,0.419795,0.228245,0.543355,0.45206,0.323315,0.40301,0.53896
P5cr,0.461555,0.452135,0.425875,0.400115,0.46714,0.497385,0.457385,0.4319
CG18501,1.31025,0.61591,#DIV/0!,0.61927,0.46735,1.1647,0.585615,0.58951
Naam,0.70889,0.646875,0.62995,0.41934,0.47645,0.49203,1.54696,0.87264
CG10915,0.474745,0.814695,0.62678,0.93157,0.47949,0.677325,0.577485,0.54431
Nup54,0.41154,0.62363,0.62607,0.51116,0.426665,0.4152,#DIV/0!,0.46233
CG3800,0.173015,0.43091,0.270065,0.62123,0.49261,1.0819,0.62679,0.39395
Pdp,1.2158,#DIV/0!,#DIV/0!,0.838025,0.50371,#DIV/0!,0.56033,0.89484
CG7441-RA,0.52088,#DIV/0!,0.52777,0.71393,0.491295,0.781665,0.67035,0.77242
Hml,0.39361,0.37983,0.170185,0.28975,0.50752,0.32415,0.47058,0.378975
U2af50,0.42853,0.669335,0.48338,0.592275,0.50873,0.37698,0.657975,0.625595
amon,0.709625,0.482565,0.75194,#DIV/0!,0.70629,0.71787,0.42644,0.86689
Sec61alpha,0.33477,#DIV/0!,0.33782,0.44596,0.51783,0.22767,0.44966,0.4006
Mulk,0.33108,0.50771,0.45434,0.525435,0.52019,0.355165,0.44899,0.487965
CHORD,0.33265,0.87966,#DIV/0!,0.73392,0.53816,0.280495,0.72161,0.5564
,0.511575,0.49858,#DIV/0!,0.57126,0.53877,0.6651,#DIV/0!,0.426515
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.53956,#DIV/0!,#DIV/0!,0.59343
,0.44142,0.54828,0.511875,0.670195,0.54317,0.99355,0.74221,0.478175
torp4a,0.569965,0.90461,0.354185,#DIV/0!,0.54596,0.6061,0.723405,0.843075
rogdi,#DIV/0!,0.61046,0.60044,0.643315,0.54607,#DIV/0!,0.57141,0.463425
CG12321-RA,0.47116,0.89647,0.437805,0.589465,0.54784,0.574535,0.680245,0.67554
Drs;Drsl5,#DIV/0!,0.73728,3.3724,0.446435,0.54902,#DIV/0!,0.67232,0.51807
Psi,0.334935,0.64794,0.34138,0.491345,0.56317,0.414225,0.751085,0.71331
Myo31DF,0.37074,0.354235,0.224095,0.3396,0.56518,0.23447,0.5523,0.23616
,0.75541,0.66432,#DIV/0!,0.57796,0.433335,0.67478,0.486075,0.3908
bel,0.26997,0.52466,0.297565,0.61395,0.57342,0.33362,0.547235,0.66834
,0.706575,0.852005,0.699055,0.7299,0.57498,0.680765,1.0649,0.978565
eas,0.41659,0.44454,0.481525,0.59528,0.57897,0.525055,0.484945,0.568575
SelR,0.75164,0.64126,0.75834,0.7184,0.58253,0.65138,0.69642,0.62232
JhI-26,0.78567,0.54258,#DIV/0!,0.54265,0.54205,#DIV/0!,1.05448,0.66266
EG:100G10.7,1.169665,0.771995,0.884865,1.049755,0.59434,0.83672,0.759905,0.98204
Gtp-bp,0.33844,0.726005,0.476695,0.738435,0.608155,0.362765,0.681495,0.79691
,0.424705,0.65489,0.62939,0.782295,0.6108,0.58745,0.71323,0.61191
CG13601,1.2845,0.84023,#DIV/0!,0.738625,0.53862,#DIV/0!,0.67104,0.67919
Bap55,0.560675,0.70187,0.557985,0.783615,0.61715,0.503315,0.79413,0.63109
wuho,0.33773,0.44616,#DIV/0!,0.40491,0.61946,#DIV/0!,#DIV/0!,0.436675
bsk,0.64132,0.69184,0.93425,1.42532,0.62168,0.572565,0.726035,0.75329
Rap2l,0.537425,0.826715,0.93337,0.715285,0.64092,0.638885,#DIV/0!,0.686235
CG10306,0.48457,0.702145,0.41854,0.86645,0.64325,0.419275,0.325685,0.73829
Aats-gln,0.321055,0.28789,0.48187,0.478055,0.64667,0.24538,0.66164,0.65513
Dsk,3.3746,1.1297,#DIV/0!,0.97846,0.65888,#DIV/0!,0.85677,0.42471
,0.908145,0.50819,0.612815,0.64897,0.66043,0.26587,#DIV/0!,0.660545
,0.33571,0.35857,0.467895,0.63315,0.66615,0.27483,0.45543,0.40184
Sodh-2,0.60407,0.659225,0.66837,0.643095,0.67077,0.614725,0.519295,0.505625
Pdcd4,0.42268,0.537775,0.481525,0.51123,0.68395,0.342555,0.646935,0.52072
anon-35F/36A,0.79598,#DIV/0!,0.75115,1.022775,0.674975,1.8467,0.87027,0.70733
svr,0.82149,0.817655,0.9147,0.92513,0.6881,1.0211,0.72774,0.708085
CG16912,0.887535,1.0047,0.89673,0.709495,0.704485,0.56797,#DIV/0!,0.80019
Mtl,0.66114,0.72641,0.64901,0.94804,0.69319,0.673825,0.790665,0.92154
,0.788605,0.911665,0.795465,0.93967,0.70261,0.75818,1.0873,0.7679
Idgf1,1.2824,1.13155,1.1291,1.2579,0.70385,0.971545,0.933085,0.78675
twf,0.50571,0.90768,0.39892,0.62834,0.70889,0.565225,0.612045,0.761105
CkIIbeta,1.691,1.091375,0.7267,0.98726,0.71624,0.68102,0.846095,0.928495
,0.85761,0.879745,0.824455,1.9237,0.675235,1.903755,0.770505,1.642
RanBP3,0.401455,0.64536,0.432865,0.58448,0.71771,0.38385,0.8392,0.67449
CadN,0.641795,1.1618,0.88175,1.00328,0.72816,0.58239,0.991355,0.86605
,#DIV/0!,#DIV/0!,#DIV/0!,0.31962,0.6819,#DIV/0!,#DIV/0!,0.31201
,0.433185,0.37817,0.50866,0.466015,0.76998,0.544615,0.59857,0.68319
Ucp4A,#DIV/0!,0.707895,#DIV/0!,#DIV/0!,0.737625,#DIV/0!,0.776085,0.82295
Rpd3,0.589605,0.73158,0.50271,0.81117,0.78267,0.435335,1.0792,0.79428
UbcD4,0.343465,0.58181,0.521095,0.55439,0.78585,0.3628,0.638065,0.590795
CSN5,0.362315,0.50926,0.34156,0.557835,0.79789,0.55602,0.49513,0.684365
,1.6957,0.684795,1.4731,0.59311,0.80004,1.8226,0.660445,0.7127
Rab8,0.964505,0.99166,0.962555,0.99556,0.82924,0.99748,0.89943,0.984765
Gs1l,2.27775,1.066495,1.8588,1.04027,0.83579,1.91985,1.07495,1.00349
RpL23,0.242615,0.702175,0.306075,0.674085,0.83969,0.36514,0.725185,0.988715
Irc,#DIV/0!,0.6238,#DIV/0!,#DIV/0!,0.6069,#DIV/0!,#DIV/0!,0.6995
,1.6158,1.4544,1.50185,1.56815,0.88227,1.50315,1.17325,1.2031
Sac1,0.29893,0.4666,0.47036,0.40171,0.88718,0.562975,0.315275,0.283305
Paf-AHalpha,0.615285,0.87027,0.518,0.944385,0.88829,0.525615,0.88176,1.1551
,1.22636,0.78198,0.607045,0.79543,0.88917,0.525595,0.72422,0.87594
GstD2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.89594,#DIV/0!,#DIV/0!,0.85279
Ppt1,0.61936,1.0682,0.778895,1.1521,0.870165,0.85341,#DIV/0!,0.5684
Sgt1,0.567575,0.74003,0.81607,#DIV/0!,0.837585,0.59408,0.90961,0.78487
Arpc3A,0.66055,0.92052,0.617,0.89189,0.95466,0.52467,1.74697,1.049395
Cpr60D,6.0416,2.0392,#DIV/0!,1.5407,0.928715,#DIV/0!,1.20555,0.8289
parvin,0.660065,0.95482,1.070925,0.87218,0.967475,0.60893,0.673785,0.81278
larp,0.97452,0.71971,0.549785,1.16074,0.928795,0.48167,0.67536,1.4428
Irp-1A,0.409335,0.29189,0.436325,#DIV/0!,0.9922,0.24519,0.265825,1.787775
,0.92304,1.0757,#DIV/0!,1.011,0.893575,0.824445,1.1941,0.85556
Hmu,0.527495,0.90449,0.625455,1.0469,1.0136,0.792565,1.12095,0.71911
CG4603,0.535025,0.746895,0.57514,0.812935,1.0149,0.841635,#DIV/0!,1.2309
,1.09702,1.4532,0.90276,1.01832,1.0382,0.7467,0.8771,0.780705
scramb2,0.72515,0.88388,0.62192,0.88026,1.064,1.0073,2.2492,0.79576
Mgstl,1.2348,1.18045,#DIV/0!,0.80466,1.0788,1.1381,1.01328,0.837285
CG2061,0.50239,#DIV/0!,#DIV/0!,#DIV/0!,1.0811,0.44912,#DIV/0!,0.95053
,0.898035,0.82974,1.20024,0.89263,0.933255,0.8168,0.84586,0.72637
mRpS7,0.35764,0.597645,0.39324,1.0366,1.1129,0.358065,0.587965,1.5323
inaF-B,1.1048,1.28965,1.422,0.89398,1.1255,1.08965,0.86015,0.97393
CG3246-RA,0.782695,0.81444,0.8422,1.0329,1.1502,0.990835,0.9853,0.70236
,1.86605,1.20565,1.41625,#DIV/0!,1.1549,1.3655,1.02785,1.01469
CG30491;CG30495,0.73508,0.568595,1.107195,0.44713,1.1575,#DIV/0!,0.95655,0.96197
,0.48054,1.13787,0.55871,0.84943,1.1847,0.60593,0.757985,0.99787
nrv2,#DIV/0!,1.1953,#DIV/0!,1.1504,1.066395,1.6388,1.3725,1.1497
