Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
,-0.630706622,-1.048800159,-1.363456579,-1.449611509,-0.991943445,#VALUE!,-1.4640665,-1.939094866,#VALUE!,-2.285037984
dnc,-1.834030194,-2.350706453,-1.820310614,-2.124628824,-1.187871481,#VALUE!,-2.388733175,-2.078198091,#VALUE!,-2.181803871
,-1.984845019,#VALUE!,-2.193832699,-1.280685113,-1.456999123,#VALUE!,-2.380521254,-2.714633294,-2.430820035,-2.072482754
Marf,-1.037976699,-1.583549352,-1.725899393,-2.04299178,-0.80404773,-1.256528117,-1.649095461,-1.301017029,#VALUE!,-1.980796266
Rh4,0.648925559,-1.958981361,-3.534980511,0.174406419,#VALUE!,#VALUE!,-0.967447724,-1.357825241,-0.627471303,-1.93076529
CG7766,-2.141971247,#VALUE!,-0.919178636,-2.198659207,-1.487904618,#VALUE!,-3.247559673,-2.18632756,#VALUE!,-1.903522231
Gycalpha99B,-2.070966521,#VALUE!,-1.9588131,-2.027498493,#VALUE!,#VALUE!,-1.821635918,-1.410313203,-2.970638997,-1.87228749
Pde1c,#VALUE!,-1.436002373,#VALUE!,-1.782198524,#VALUE!,#VALUE!,-1.646202476,#VALUE!,#VALUE!,-1.867067874
AGO1,-1.14193941,0.034356597,-1.73063166,#VALUE!,-1.776453884,-0.320648271,-1.31954961,0.656542133,#VALUE!,-1.85783493
Glg1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.819801206
CG34325-RA,#VALUE!,#VALUE!,-1.386506065,#VALUE!,-1.843577494,-1.651269013,#VALUE!,#VALUE!,-2.319837702,-1.805156488
shot,#VALUE!,#VALUE!,-1.308465835,#VALUE!,-2.204831529,-2.630483264,-0.049158362,-1.175142554,-1.58225278,-1.793356776
mdy,-1.721039904,-1.219001268,-1.491551064,-1.682047675,-1.4965902,-0.951122139,-1.523753126,-1.356790282,-1.425268737,-1.792356987
Rbp,#VALUE!,-1.766651825,-0.006637214,-0.750178485,0.039419183,#VALUE!,-1.466576194,-1.371982356,#VALUE!,-1.763807432
Mnn1,#VALUE!,#VALUE!,#VALUE!,-0.095851205,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.660289751,-1.723658183
,-1.629143838,-1.525081192,#VALUE!,-1.233141976,-2.130870855,-0.533492946,-1.329268414,#VALUE!,-1.531948506,-1.651948921
,-2.137711287,-1.684781589,-1.36594581,-1.421206167,#VALUE!,-1.721705924,-1.538345721,#VALUE!,#VALUE!,-1.649593278
CG14757,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.174150712,#VALUE!,#VALUE!,#VALUE!,-2.095851205,-1.607616627
,-0.442908556,1.303751529,-0.264027322,0.479644475,#VALUE!,#VALUE!,#VALUE!,-0.194674522,#VALUE!,-1.517296252
Srp72,-2.223306418,-1.208994481,-1.185605441,-1.070299884,-1.486004021,-2.409738126,-1.93164562,-1.70783079,#VALUE!,-1.48628693
pix,-1.748117335,-0.005623028,-1.356236146,-1.683483492,-2.100669665,-2.814513996,-1.38624206,-1.384546035,#VALUE!,-1.470888709
Cyp12c1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.582079992,#VALUE!,-1.912184166,-1.453992106
RabX4,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.432104143
